3,0,1.2500
3,2,1.2500
3,3,1.0000
3,4,1.0000
3,5,0.7500
3,6,0.7500
3,8,0.7500
3,11,1.0000
3,18,1.0000
3,19,0.7500
3,21,1.2500
3,22,1.2500
13,0,1.0000
13,1,1.0000
13,2,1.0000
13,4,1.0000
13,5,1.0000
13,7,1.0000
13,19,1.0000
13,22,1.0000
13,23,1.0000
52,2,0.6875
52,4,1.0312
52,5,1.0312
52,7,1.0312
52,15,1.0312
52,16,1.0312
52,18,1.0312
52,19,1.0312
52,21,1.0312
52,22,1.0312
52,23,1.0312
62,0,1.0769
62,2,1.0769
62,3,1.0769
62,4,1.0769
62,5,1.0769
62,7,1.0769
62,11,0.8615
62,12,1.0769
62,13,1.0769
62,18,1.0769
62,19,0.2154
62,21,1.0769
62,22,1.0769
62,25,1.0769
151,0,0.9630
151,4,1.2037
151,5,0.9630
151,7,0.9630
151,8,1.2037
151,11,0.4815
151,12,0.9630
151,19,0.4815
151,21,0.9630
151,22,1.2037
151,24,1.2037
151,25,1.2037
151,26,1.2037
179,0,0.2683
179,2,1.3415
179,3,0.8049
179,7,1.3415
179,11,1.0732
179,12,1.0732
179,13,1.3415
179,22,1.3415
179,24,0.2683
179,25,1.3415
179,26,0.8049
204,0,1.0323
204,1,1.0323
204,2,1.0323
204,3,0.7742
204,4,1.0323
204,5,0.7742
204,6,0.7742
204,7,1.0323
204,8,1.0323
204,9,0.7742
204,10,1.0323
204,11,1.0323
204,12,0.7742
204,13,0.5161
204,14,1.0323
204,15,0.7742
204,16,1.0323
204,19,1.0323
204,21,1.2903
204,22,1.2903
204,23,1.0323
204,24,1.2903
204,25,1.2903
204,26,1.2903
224,0,0.9268
224,2,1.1585
224,3,0.6951
224,4,1.1585
224,5,1.1585
224,7,0.9268
224,8,0.9268
224,12,1.1585
224,13,0.6951
224,14,0.9268
224,15,0.9268
224,16,0.9268
224,19,0.6951
224,20,1.1585
224,21,0.9268
224,22,1.1585
224,23,1.1585
224,24,1.1585
224,25,1.1585
236,2,0.4667
236,4,1.1667
236,5,1.1667
236,6,1.1667
236,7,1.1667
236,8,0.9333
236,11,1.1667
236,15,0.9333
236,16,0.9333
236,17,0.9333
236,19,1.1667
236,22,0.9333
236,25,1.1667
236,26,0.7000
253,0,1.3386
253,1,1.0709
253,2,1.0709
253,3,1.3386
253,4,0.8031
253,5,1.3386
253,6,1.0709
253,7,0.5354
253,8,0.8031
253,9,1.3386
253,10,0.8031
253,11,0.8031
253,12,1.3386
253,13,1.3386
253,14,1.3386
253,15,1.0709
253,16,1.0709
253,17,0.8031
253,18,0.8031
253,19,0.2677
253,20,0.8031
253,21,1.0709
253,22,1.3386
253,23,0.2677
253,24,0.2677
253,25,1.3386
253,26,1.3386
253,27,0.5354
253,28,0.8031
253,30,1.0709
253,33,1.3386
253,34,1.3386
253,35,1.0709
253,36,1.0709
254,4,1.0000
254,11,1.0000
263,0,1.2941
263,1,1.0353
263,2,1.0353
263,3,0.7765
263,4,1.2941
263,5,1.2941
263,6,1.2941
263,7,1.0353
263,8,0.7765
263,9,0.5176
263,10,0.5176
263,11,1.2941
263,12,0.7765
263,13,0.5176
263,14,0.5176
263,15,0.5176
263,16,1.2941
263,19,1.2941
263,22,1.2941
263,23,1.0353
263,25,1.2941
263,26,1.2941
272,0,1.1702
272,2,0.9362
272,3,0.9362
272,4,0.7021
272,5,0.9362
272,6,1.1702
272,7,1.1702
272,8,1.1702
272,9,0.9362
272,11,0.9362
272,12,1.1702
272,14,0.9362
272,15,0.7021
272,16,0.9362
272,18,1.1702
272,19,0.9362
272,21,0.9362
272,22,1.1702
272,23,1.1702
272,24,0.7021
272,25,0.9362
272,26,1.1702
292,0,1.1644
292,2,0.9315
292,3,0.9315
292,4,1.1644
292,5,1.1644
292,6,0.9315
292,7,1.1644
292,11,0.6986
292,12,1.1644
292,13,1.1644
292,14,1.1644
292,16,0.9315
292,18,1.1644
292,19,0.2329
292,21,0.9315
292,22,0.9315
292,25,1.1644
331,0,1.1458
331,3,0.9167
331,4,1.1458
331,5,1.1458
331,7,0.9167
331,8,1.1458
331,15,0.9167
331,16,0.9167
331,19,0.6875
331,21,1.1458
331,22,0.9167
338,0,1.0976
338,2,0.8780
338,5,0.6585
338,7,1.0976
338,13,1.0976
338,19,0.8780
338,22,1.0976
338,23,1.0976
338,25,1.0976
339,3,1.0909
339,4,1.3636
339,5,1.0909
